Province/State,Country/Region,Lat,Long,Date,Cases_confirmed,Cases_deaths,Recovered,country_clean,Population,Daily Cases,Daily Deaths,Growth Rate,Death Rate,Recovery Rate,risk_score,cases_per_100k,Risk,7DMA
Unknown,Equatorial Guinea,1.6508,10.2679,2020-07-31,4821,83,2182,Equatorial Guinea,1803545.0,1750.0,32.0,0.5698469553891241,0.017216345156606513,0.452603194358017,0.002673068872692392,267.3068872692392,High,250.0
Unknown,Eritrea,15.1794,39.7823,2021-06-10,4766,16,4252,Eritrea,3409447.0,76.0,2.0,0.016204690831556512,0.003357112882920688,0.8921527486361729,0.0013978806533728196,139.78806533728195,Medium,88.71428571428571
Unknown,Estonia,58.5953,25.0136,2022-02-06,380946,2059,0,Estonia,1348840.0,7046.0,3.0,0.018844610858518296,0.005404965533172681,0.0,0.28242489843124463,28242.489843124462,Critical,6909.428571428572
Unknown,Eswatini,-26.5225,31.4659,2021-12-17,58876,1258,0,Eswatini,1218917.0,1034.0,3.0,0.017876283669306048,0.021366940688905496,0.0,0.04830189422249423,4830.189422249423,Critical,1100.5714285714287
Unknown,Ethiopia,9.145,40.4897,2021-12-31,420342,6937,0,Ethiopia,125384287.0,4899.0,11.0,0.011792231425249655,0.01650322832360316,0.0,0.0033524296389706313,335.24296389706313,High,4229.285714285715
Unknown,Fiji,-17.7134,178.065,2021-07-21,20443,146,4550,Fiji,919422.0,1091.0,21.0,0.05637660190161231,0.007141808932152815,0.2225700728855843,0.02223462131643576,2223.462131643576,High,1201.5714285714287
Unknown,Finland,61.92411,25.748151,2022-03-16,778617,2763,0,Finland,5556106.0,11397.0,44.0,0.014854930789082621,0.0035485996324251846,0.0,0.14013717520868033,14013.717520868033,Critical,10795.0
Unknown,France,46.2276,2.2137,2023-03-09,38618509,161512,0,France,68184457.0,38615082.0,161505.0,11267.896702655384,0.004182243286502853,0.0,0.5663828781389284,56638.28781389284,Critical,5582356.0
Unknown,Gabon,-0.8037,11.6094,2021-12-31,41798,288,0,Gabon,2430747.0,725.0,0.0,0.017651498551359834,0.006890281831666587,0.0,0.017195537009816325,1719.5537009816326,High,537.0
Unknown,Gambia,13.4432,-15.3101,2021-08-03,8296,227,7122,"Gambia, The",2636470.0,587.0,15.0,0.07614476585808805,0.0273625843780135,0.8584860173577628,0.0031466316703774363,314.6631670377436,High,137.57142857142858
Unknown,Georgia,42.3154,43.3569,2022-02-06,1314603,15162,0,Georgia,3712502.0,19098.0,38.0,0.014741741637430916,0.011533520005659503,0.0,0.3541016274199987,35410.16274199987,Critical,21690.0
Unknown,Germany,51.165691,10.451526,2022-03-24,19596530,127822,0,Germany,83177813.0,318387.0,300.0,0.01651543927234078,0.006522685393791656,0.0,0.23559804343497226,23559.804343497224,Critical,229484.14285714287
Unknown,Ghana,7.9465,-1.0232,2022-01-01,143997,1298,0,Ghana,33149152.0,1011.0,3.0,0.007070622298686491,0.0090140766821531,0.0,0.004343912025260858,434.39120252608575,High,1348.857142857143
Unknown,Greece,39.0742,21.8243,2022-07-19,4210771,30707,0,Greece,10436882.0,367629.0,231.0,0.09565844821763037,0.007292488715249535,0.0,0.4034510498441968,40345.104984419675,Critical,52518.42857142857
Unknown,Grenada,12.1165,-61.679,2022-01-17,9718,204,0,Grenada,116913.0,17.0,1.0,0.0017523966601380447,0.020991973657131097,0.0,0.08312163745691241,8312.163745691241,Critical,288.42857142857144
Unknown,Guatemala,15.7835,-90.2308,2022-07-15,977539,18782,0,Guatemala,17847877.0,6918.0,14.0,0.007127395760033961,0.01921355567399357,0.0,0.05477060380906928,5477.060380906928,Critical,5462.714285714285
Unknown,Guinea,9.9456,-9.6966,2022-01-07,34139,397,0,Guinea,14055137.0,439.0,0.0,0.013026706231453966,0.011628928791118662,0.0,0.0024289339904691076,242.89339904691076,High,298.2857142857143
